oa_id	dataset	ecotype_id	sample_name	biosample	species	latitude	longitude	elevation	locality	country	country_code	collector	collection_date	collection_notes	cs_number	ploidy	internal_data	pooled_plants
OAKG2370	KG	2370	Yng-4	SAMN03326386	Arabidopsis thaliana	41.865	-86.646		Yng	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78998			
OAKG2412	KG	2412	Yng-53	SAMN03326387	Arabidopsis thaliana	41.865	-86.646		Yng	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78999			
OAKG4779	KG	4779	UKSW06-179	SAMN03326388	Arabidopsis thaliana	50.4	-4.9		St Columb	UK	GBR	Eric Holub	2006-05-11 0:00:00		CS78808			
OAKG4807	KG	4807	UKSW06-207	SAMN03326389	Arabidopsis thaliana	50.4	-4.9		Indian Queen	UK	GBR	Eric Holub	2006-05-11 0:00:00		CS78809			
OAKG4826	KG	4826	UKSW06-226	SAMN03326390	Arabidopsis thaliana	50.4	-4.9		St Dennis	UK	GBR	Eric Holub	2006-05-11 0:00:00		CS78810			
OAKG4840	KG	4840	UKSW06-240	SAMN03326391	Arabidopsis thaliana	50.4	-4.9		St Dennis	UK	GBR	Eric Holub	2006-05-11 0:00:00		CS79000			
OAKG4857	KG	4857	UKSW06-257	SAMN03326392	Arabidopsis thaliana	50.3	-4.9		St Stephens	UK	GBR	Eric Holub	2006-05-11 0:00:00		CS79001			
OAKG4884	KG	4884	UKSW06-285	SAMN03326393	Arabidopsis thaliana	50.3	-4.9		St Stephens	UK	GBR	Eric Holub	2006-05-11 0:00:00		CS78811			
OAKG4900	KG	4900	UKSW06-302	SAMN03326394	Arabidopsis thaliana	50.3	-4.8		St Austel	UK	GBR	Eric Holub	2006-05-11 0:00:00		CS78812			
OAKG4939	KG	4939	UKSW06-341	SAMN03326395	Arabidopsis thaliana	50.4	-4.7		Lostwitheil	UK	GBR	Eric Holub	2006-05-12 0:00:00		CS79002			
OAKG4958	KG	4958	UKSW06-360	SAMN03326396	Arabidopsis thaliana	50.5	-4.5		Liskeard	UK	GBR	Eric Holub	2006-05-12 0:00:00		CS78814			
OAKG5023	KG	5023	UKSE06-118	SAMN03326397	Arabidopsis thaliana	51.3	0.5		East Malling Research Station	UK	GBR	Eric Holub	2006-05-05 0:00:00		CS78799			
OAKG5104	KG	5104	UKSE06-252	SAMN03326398	Arabidopsis thaliana	51.3	0.5		East Malling village	UK	GBR	Eric Holub	2006-05-23 0:00:00		CS78800			
OAKG5151	KG	5151	UKSE06-325	SAMN03326399	Arabidopsis thaliana	52.2	-1.7		West Malling village	UK	GBR	Eric Holub	2006-05-05 0:00:00		CS78801			
OAKG5165	KG	5165	UKSE06-362	SAMN03326400	Arabidopsis thaliana	51.3	0.4		Wateringbury	UK	GBR	Eric Holub	2006-05-05 0:00:00		CS78802			
OAKG5210	KG	5210	UKSE06-432	SAMN03326401	Arabidopsis thaliana	51.2	0.3		Tonbridge castle	UK	GBR	Eric Holub	2006-05-23 0:00:00		CS78803			
